Category,Name,Vol2,Vol4,Vol5,Vol6,Vol7,Vol8,Vol11,Vol12
35708,Aboriginal people,34,32,17,15,22,18,22,22
35719,Accountants,0,0,0,0,1,1,0,1
35674,Agriculture,84,45,78,76,73,82,55,69
35675,Architects,0,0,7,4,3,13,10,11
35720,Archivists,0,0,0,0,0,0,0,0
35676,Armed Forces,195,189,195,205,196,155,55,81
35677,Artisans,21,22,26,24,41,40,31,34
35721,Arts and Entertainment,16,15,31,19,32,22,27,40
35679,Authors,12,29,66,44,79,85,85,146
35680,Blacks,1,3,3,1,2,3,3,3
35681,Business,82,120,152,183,214,211,235,290
35722,Communications,0,6,8,20,33,41,64,75
35707,Criminals,0,0,0,12,1,0,0,3
35723,Curators,0,0,0,0,0,0,0,0
35682,Education,9,5,13,37,58,79,108,116
35683,Engineers,10,0,6,7,13,6,15,22
35684,Explorers,15,13,9,6,7,10,10,10
35713,Fur Trade,58,44,44,38,33,46,21,17
35709,Interpreters and Transl...,0,0,0,9,5,0,0,7
35710,Inventors,0,0,0,1,3,6,0,9
35711,Labourers and Labour Or...,0,0,0,6,1,3,6,5
35712,Legal Professions,79,74,156,187,181,160,90,126
35726,Librarians,0,0,0,0,1,0,0,0
35689,Mariners,28,20,19,17,7,12,6,9
35690,Medicine,16,13,19,23,26,29,37,37
35691,Miscellaneous,3,0,2,3,6,0,0,16
35694,Office Holders,123,154,190,195,193,178,162,170
35716,Philanthropists and Soc...,0,0,0,0,6,12,0,30
35728,Police,0,0,0,0,0,0,0,0
35695,Politicians,0,29,135,154,160,171,193,210
35696,Religion,129,82,76,68,87,102,100,90
35697,Scientists,2,0,7,3,6,7,20,21
35704,Slaves,2,1,0,0,0,0,0,0
35730,Social Scientists,0,0,0,0,0,0,0,0
35718,Sports and recreation,0,0,0,0,0,3,0,11
35698,Surveyors,10,9,20,21,20,15,9,19
